comment_id,comment_message
1538183672909402_1541895645871538,b'Thanks  big  fan here'
1540621789332257_1540637829330653,b'Reminded of trika butterfly'
1540621789332257_1540640095997093,b'BEST WISHES FOR CELEBRATING... 34 YEARS..OF TOUCHING LIVES .......Thankyou Apollo Hospitals..'
1540621789332257_1540672129327223,b'Congrats'
1540621789332257_1540753779319058,b'Congrats'
1540621789332257_1540781092649660,b'Congratulations'
1540621789332257_1541729175888185,b'Congratulations Apollo hospital...'
1540621789332257_1541754942552275,b'I will never forget the first class treatment Apollo Chennai gave me. It was home away from home.'
1540621789332257_1542346075826495,"b""Best wishes..and I'm so happy that I was a part of Apollo in touching lives...\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d"""
1538180652909704_1539762569418179,b'Good Information which will help in curing problems of the bones.. Especially joint pains and other related issues.'
1538178192909950_1538838052843964,b'Good information'
1538381189556317_1538381606222942,b':) <3'
1538381189556317_1538412876219815,b'This  is only for brain...ah ...'
1538381189556317_1539176846143418,b'Irritating management'
1538173556243747_1538214119573024,b'thanks for keep up info'
1537256943002075_1537257083002061,b':) <3'
1533042046756898_1536145229779913,b'posts  about  are why  everyone likes social media'
1533040316757071_1534603559934080,b'Important Info !'
1533040316757071_1534965379897898,"b""Apollo I'm coming soon"""
1533051526755950_1534643473263422,b'Great!  I love'
1533051526755950_1538090752918694,b'Good Healthy Tips to beat the rains .........'
1533030356758067_1533145436746559,b'pls i want to make enquiry for my baby'
1524251377635965_1532417676819335,"b""Hi Apollo Doctor's ! I have had a very BAD experience with doctors secretary at Apollo Greams Chennai... (1) Doctors charge 1000\xe2\x82\xb9 and be either in phone or in other personal calls while we attend them.(2) The secretary accept only cash and no credit cards or other means of health card. Not sure if this is the policy of Apollo hospital that they only take cash. The secretary says this is as per instruction from doctor. (3) The doctor fees of \xe2\x82\xb91000 to be paid first before even you can see the doctor. Are these as per the ethics ?? Or is it only Money matters and not patients first?? I have decided not to go anymore to Greams because of such money minded secretaries and doctors that ruin the medicine culture and breach of medical ethics."""
1533209026740200_1533212710073165,"b""Congratulations ma'am"""
1533209026740200_1533221033405666,b'Congratulations madam'
1533209026740200_1533223163405453,"b""Congrats ma'am., you deserve the best.."""
1533209026740200_1533223333405436,b'Congratulations Madam \xf0\x9f\x92\x90Stay Blessed:)'
1533209026740200_1533685833359186,"b""Congratulations Ma'm"""
1533209026740200_1534076563320113,b'Congratulations Madam....'
1533209026740200_1536252303102539,b'Hearty Congratulations!!'
1531353606925742_1531358580258578,b'I m 36 yrs... My weight 79 kg.. So how can I control my diet?'
1531353606925742_1531358673591902,b'Ankylosis spondylitis treatment natura'
1531353606925742_1531361726924930,b'Hi madam'
1531353606925742_1531362006924902,b'Recently my father took treatment in apollo'
1531353606925742_1531362653591504,b'Mam dry mouth. Salivary glands not released sufficient.. How to become healthier'
1531353606925742_1531363790258057,"b'I am 24 yrs, my weight 88kg.. So how to control my diet..'"
1531353606925742_1531363806924722,b'Hi Mam'
1531353606925742_1531364310258005,b'I have hair loss problem and my age is 26 and weight only 45 what should I do... Hair loss problem is very important'
1531353606925742_1531364343591335,b'In spite of dieting m not able to loose weight \nCan u please advice something on this?'
1531353606925742_1531364706924632,b'So mam please tell me a diet chart'
1531353606925742_1531364933591276,"b""Hello ma'am, I am 23 years old and I have hyperthyroidism, can you please tell me what kind of diet should I follow?"""
1531353606925742_1531365100257926,"b'Hello Doctor, my concern is having late night snacks is good for my health or not?'"
1531353606925742_1531365146924588,"b""Hi Ma'am,                                                                                                               What should be the ideal water consumption in a day? And, is there any particular food that can stop the snack cravings and help to loose the belly fat?"""
1531353606925742_1531368240257612,"b""Hi ma'am, Can you please tell me more about anti-inflammatory diet"""
1531353606925742_1531369720257464,b'Hi I am Divya Aswani hight is 5.2 & I have rumotiodarthritise for 19 years & my weight is 86 kgs what diet should I take to reduce weight. Pl help me'
1531353606925742_1531374980256938,b'Hello doctor... Is there any nutritional management for hair growth .'
1531353606925742_1531375220256914,"b""Hello ma'am \nI am 50 years old\nMy waight 80 kg hight 5'4\nI have thyro gland can u pl ideas"""
1531353606925742_1531376576923445,b'I m having 2months baby... What to eat to increase milk production..'
1531353606925742_1531377203590049,b'Hello doctor ..\nCan you please  explain  about  a diet plan of diabetic person . RBS-300mg/dl'
1531353606925742_1531377236923379,b'Diet for ibs'
1531353606925742_1531377836923319,"b'Good afternoon Dr, please suggest diet plan for Hypothyroidism'"
1531353606925742_1531378660256570,b'I am over weight please tell me the diet plan'
1531353606925742_1531382366922866,b'I am over weight with thyroid.please help'
1531353606925742_1531385483589221,b'i am a cancer patient and have just completed my chemotherapy sessions three months back..so wat type of diet must be followed and wat kind of food must be avoided.. Are diary products good to be consumed at this stage..'
1531353606925742_1531387746922328,b'Hi mam \ncan  you  please explain  about diet plan of diabetic person'
1531353606925742_1531388143588955,b'How many water drink in a day ?'
1531353606925742_1531409616920141,b'About High blood pressure'
1531353606925742_1531417460252690,b'I hv liver cyrosis pls advise diet frme'
1531353606925742_1531445653583204,b'H'
1531353606925742_1531604366900666,b'Can i ask something about my sickness? are you ready'
1531295386931564_1531689536892149,b'I am proud'
1530621716998931_1530666930327743,b'Amazing   very informative'
1530621716998931_1530968066964296,b'How did we start the chat session? Sky up or anything other means of commuication'
1530440920350344_1532212213506548,b'More info on  ok? who agrees?'
1530440920350344_1539507152777054,b'We needs the Apollo hospital in Sierra Leone pls'
1528801810514255_1531259280268508,"b'Great, apollo chennai'"
1528693060525130_1528701103857659,b'<* H\xc3\x84PP\xc3\x9d *>\n         <* \xc3\x95\xc3\x91\xc3\x83M *>'
1528169553910814_1529396150454821,b'Nice'
1528740053853764_1528740477187055,b'Do bananas make one fat ??'
1524120640982372_1526806484047121,b'allah hu akbar ...  kaboom \xf0\x9f\x98\x83'
1524120640982372_1526836577377445,b'Eid Mubarak'
1524120640982372_1526870364040733,"b'Thanks for the wishes. By the way, Did we fixed the security cameras? especially in Chennai branches?'"
1524120640982372_1526887754038994,b'Happy Eid.'
1524120640982372_1526997074028062,b'Eid Mubarak'
1524120640982372_1527013157359787,b'/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\n!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1\n^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3\n\n             :\xc2\xa4: \xc3\x89 :\xc2\xa4:\n             :\xc2\xa4: \xc3\x8d :\xc2\xa4:\n             :\xc2\xa4: \xc3\x90 :\xc2\xa4:\n\n             :\xc2\xa4: M :\xc2\xa4:\n             :\xc2\xa4: \xc3\x9a :\xc2\xa4:\n             :\xc2\xa4: B :\xc2\xa4:\n             :\xc2\xa4: \xc3\x81 :\xc2\xa4:\n             :\xc2\xa4: R :\xc2\xa4:\n             :\xc2\xa4: \xc3\x81 :\xc2\xa4:\n             :\xc2\xa4: K :\xc2\xa4:\n\n^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3^^\xc2\xa3\n/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\xc2\xa7~/\n!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1!\xc2\xa4\xc2\xa1'
1524120640982372_1527094570684979,b'same 2 u'
1524120640982372_1527108987350204,b'\xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xad\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x8f\xe0\xa4\x82 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xac\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\x88'
1525997244128045_1526245270769909,b'posts  about  are why I love   this page'
1525164737544629_1525192300875206,b'Thnk u for helping us Appllo \xe2\x9c\x8c'
1524251060969330_1524303770964059,b'Interesting info thanks this is really great more on  please'
1524251060969330_1524631340931302,b'You have branch in Bangalore pitapura?'
1524021284325641_1524061927654910,b'Nice to see Ganapathy sir after a long gap. Regards to him.'
1523498777711225_1523653827695720,b'loving the   page'
1523280844399685_1523334027727700,b'Anything  related to this is really important'
1523280844399685_1523419591052477,b'Congrats'
1523280844399685_1523419867719116,b'Training Team need to be really appreciated'
1523280844399685_1524291684298601,"b'Congratulations to all apollo doctors, staff and members.'"
1523280844399685_1524321947628908,b'Congratulations.'
1523280844399685_1524356950958741,"b""Congrats Apollo hospital... Specially Dr Sujit choudhury (Delhi Apollo)... U and U'r all madical staff simply just a God..."""
1523280844399685_1524410160953420,b'Huge charges for pathological and other tests. High operation cost. Apollo authority may please look into. 30.08.2017.'
1523072394420530_1523831054344664,b'Tremendous'
1522327827828320_1523910501003386,b'Important Post'
1522216867839416_1522298087831294,b'congo Sunita Katyal'
1522209417840161_1522256997835403,b'Apply mosquito net N clean d all housing area....Be clean Be save \xe2\x9c\x8c'
1522209417840161_1524922327568870,b'hi thalassmeia better  treatment  & medicine ????'
1522209417840161_1525149744212795,b'Good message'
1522209417840161_1525169064210863,b'Need to create  more  green spaces  and  organise anti malaria  and anti zika rallies across  India and create general public awareness'
1522209417840161_1525248020869634,b'Nice post'
1521242491270187_1521432987917804,b'Anything  related to this is very important'
1521242491270187_1523112314416538,b'Very nice'
1521242491270187_1524071490987287,b'Very nice'
1521242491270187_1524839027577200,b'Hello'
1518786711515765_1519385448122558,"b'Sir Wishing  Apollo Team and their family, a very happy and prosperous Ganesh Chaturthi.\n\nRegards,\nDinesh.S\nBangalore.'"
1517003068360796_1521448624582907,b'Important Info !'
1517932754934494_1518392824888487,b'Always love everything like this'
1517932754934494_1523111271083309,b'Health s wealth'
1517932754934494_1523426597718443,b'Nice'
1517932754934494_1523613177699785,b'It is not to be possible to like.'
1517932754934494_1523873137673789,b'I am suffer'
1517932754934494_1524017790992657,b'Nice'
1517932754934494_1524136524314117,b'Nice'
1517932754934494_1524214674306302,b'Hello'
1517932754934494_1524304900963946,b'N'
1517932754934494_1524369024290867,b'Nice'
1517932754934494_1524470200947416,b'Nice'
1516997455028024_1517060065021763,b'HARI OM PAAJI'
1516753748385728_1517900791604357,b'Who else loves'
1516753748385728_1522196144508155,"b'Very poor service at apolo clinic ... New Sama Raod, Vadodara... I personally advice other hospital to consult....'"
1515795398481563_1515826171811819,b'#TheFreedomChallenge b.false'
1515795398481563_1515876195140150,b'I guess this answers'
1515795398481563_1515932435134526,b'WOW'
1515795398481563_1516329478428155,b'Got all correct :) #TheFreedomChallenge :)'
1515795398481563_1516351468425956,b' [[STICKER]]'
